PLAYER;AGE;GP;W;TS.PCT;USG.PCT;POSS;3PTS.PCT;FG.PCT;PTS;REB;AST;TOV;STL;BLK;EFF;SALARY
Will Barton;31;71;41;54.8;20.5;4713;36.5;43.8;14.7;4.8;3.9;1.8;0.8;0.4;15.3;15.63
Monte Morris;27;75;44;58.3;17.3;4601;39.5;48.4;12.6;3;4.4;1;0.7;0.2;14.5;8.45
JaMychal Green;32;67;36;58.7;16.8;2241;31.7;46;9.2;4.2;1.1;1.1;0.7;0.8;10.4;8.2
Michael Porter Jr.;24;9;5;41.6;19.2;556;36.9;53.4;14.2;4.2;2.3;0.8;1.2;0.4;16.3;5.26
Bryn Forbes;28;75;36;57.4;20.1;2731;41.4;42.9;8.8;1.2;1;0.7;0.3;0.1;6.5;4.5
Jeff Green;35;75;44;62.7;16;3831;0;66.7;2;1.5;0;0;0.5;0;3.5;4.5
Facundo Campazzo;31;65;38;50.3;14.3;2451;30.1;36.1;5.1;1.8;3.4;1;1;0.4;7.4;3.1
Zeke Nnaji;21;41;24;62.9;14.6;1443;46.3;51.6;6.6;3.6;0.4;0.6;0.4;0.3;7.9;2.5
Austin Rivers;29;67;41;54.6;12.3;3047;34.2;41.7;6;1.7;1.3;0.8;0.8;0.1;5.9;2.4
Bones Hyland;21;69;41;55.8;23.1;2722;36.6;40.3;10.1;2.7;2.8;1.2;0.6;0.3;10.1;2.1
DeMarcus Cousins;31;48;33;56.7;26.7;1507;14.3;10;1;2;0.3;0;1;0.3;1.6;2.04
Vlatko Cancar;25;15;7;65.7;13.1;387;58.3;56.1;4.1;2.1;1.1;0.6;0.1;0.2;5.5;1.78
Jerami Grant;28;47;11;55.6;25.3;3082;35.2;41.4;7.5;5.6;1;0.8;0.6;0.3;10;20
Kelly Olynyk;26;31;4;41;16.1;732;33.6;44.8;9.1;4.4;2.8;1.5;0.8;0.5;11.6;12.2
Marvin Bagley III;23;48;17;55.1;19.1;2359;25;46.7;6.8;2.5;1;0.3;0.5;0;7.7;11.31
Cade Cunningham;20;64;20;50.4;27.3;4290;27;43.3;8.5;2.4;1.2;0.8;0.5;0.1;7.4;10.05
Cory Joseph;30;65;19;57.9;14.1;3290;41.4;44.5;8;2.7;3.6;1.3;0.6;0.3;10.2;7.31
Killian Hayes;30;66;44;57.7;25.5;4613;26.3;38.3;6.9;3.2;4.2;1.7;1.2;0.5;9.8;5.57
Hamidou Diallo;23;58;14;54.1;21.3;2657;24.7;49.6;11;4.8;1.3;1;1.2;0.3;12.2;5.2
Isaiah Stewart;21;71;21;55;14.4;3723;32.6;51;8.3;8.7;1.2;1.2;0.3;1.1;14.5;3.28
Frank Jackson;24;53;9;53;20.3;2445;30.8;40.2;10.6;1.6;1;0.7;0.5;0.2;7.4;3
Saddiq Bey;23;82;23;52.9;20.9;5605;34.6;39.6;16.1;5.4;2.8;1.2;0.9;0.2;15.3;2.82
